ZIP,SiteEnergyUse2013,GridPurchase2013,WaterUse2013,SiteEnergyUse2014,GridPurchase2014,WaterUse2014
92507,3961492.9,1054086.3,1288.7,3941064.2,1007773.2,2330.6
92509,6014338.4,1162897.2,1793,212750.9,1198618.5,1572.1
92530,283008.2,45020,137.3,293974,53655.9,121
92532,353312.7,53865.8,241.6,266160.6,46559.4,309
92539,0,55194,80.1,0,55194,71
92543,472385.3,128424.8,4.5,0,116983.9,9.9
92544,0,55146,1629.2,0,57244.5,1614.7
92549,972113.3,246359.7,144.2,955410.1,247276.4,138.5
92570,3979819.7,1166418.3,94.4,2934240.5,859976.6,83.5
92571,0,0,37145,0,0,18366.7
92583,341733.5,111720.4,229,269189,116387.2,296.1
92590,1574597.7,373924,2172.7,1021272.7,334424.5,1930.2
92618,1388644.2,2407458.6,2765.6,11219419.5,2592858.7,664.4
92626,147938167.8,11546271.3,74979.5,124930733.6,11315788.7,68887.8
92627,966921.2,182860.8,541.1,970952.7,185247.4,504.9
92629,0,0,10066.2,0,0,0
92647,14375.1,4213.1,9,13706.3,4017.1,9
92648,325043.7,88377.4,5400.2,249739.1,68977.4,7868.5
92649,660078.5,193457.9,5600.7,707469.1,207347.3,5530.5
92651,0,0,0,0,0,0
92660,155656.3,45620.2,775.1,170543.7,49983.5,235.5
92672,0,0,8440.6,0,0,0
92673,0,0,4724.5,0,0,0
92675,723891.7,172608.6,411.4,689956.4,174879.4,729.1
92683,608123.9,170721.1,938.8,569581,161385.3,905.6
92701,6904056.9,1682173.3,1596.6,6682014.5,1710140.9,1589.5
92705,742423.5,205897.8,138.4,662676.7,187959.2,155.9
92707,1003247.5,114043.7,271.9,0,109199.2,564.6
92821,153468.7,39822.7,641.1,153059.9,40140.6,508.3
92832,1117778.1,274553.9,857.3,1176107,270752.3,828.8
92833,625067.1,41102,519,500492.5,45537.6,553.4
92860,733769.6,181556.1,889.3,950276.3,242145.2,802.4
92865,0,95187.1,814.6,636107.4,95825.7,1385.7
92866,170755.9,140169.6,546.9,851207.5,140488,572.2
92879,485332.6,66577.6,1994.5,397292.3,60779.5,2673.2
93001,396831.9,98640.2,783.3,104445,19620.5,5603.7
93003,1959563.7,443907.1,1148,1124182.9,397213.8,1404.7
93004,7410031.4,1077860.6,3847.8,7706630.7,1135029,1676.6
93010,47291495.4,4186926.7,28754,39895859.8,4035685.5,22318.1
93012,0,101636.7,908.9,557008.6,102096.7,680.6
93013,0,0,8511.3,0,0,8254.5
93015,9189500.8,2546844.7,1996.4,8533887.2,2371652,1991.3
93021,246656.9,57907.6,234,224230.4,59739.3,234.6
93023,39589.5,383.6,117.4,26511.3,999.8,148
93030,417857.7,32572.4,624.9,303225.9,16205.3,326.5
93033,550465.2,161332.1,175.1,615525.5,180400.2,154.1
93035,34839.4,10210.8,0,0,0,321.6
93060,196618.7,10712.7,115.2,72856.7,10010.8,68.9
93101,1241077.2,323900.3,1007.5,874637.1,292155.9,1030.6
93103,0,0,78.9,0,0,64
93105,0,73879.5,815.4,352143.5,72092.6,758.5
93117,5142347.3,665107.7,8115.2,445198.4,666007.9,7456.5
93203,645318.2,170052.2,8501.9,701355.7,191543.5,5661.5
93204,433009954.2,5337078.2,345132.9,394117265,5090060.5,244386.4
93206,0,0,6413.4,0,0,2011.6
93207,66342.9,19444,83.5,163121,47808,62.6
93208,14913.4,4370.9,23.4,12673,3714.2,23.5
93210,273360240.9,43843338.5,249852.5,118673209.7,19013428.6,204056
93212,475340547.7,55611937.6,822610.2,445018275.7,44007502.7,677522.5
93215,244722420.3,29515516.4,447963.6,212498224,26458082,393392.7
93218,150093.9,43990,51.5,170911,50091.2,46.1
93219,0,0,500.4,0,0,116.3
93226,157860.6,46266.3,63,140846.7,41279.8,43.7
93230,767130.2,201357,2365.7,399491.4,208811.7,1794.2
93238,132538.4,38844.8,281.6,129863.9,38060.9,280.8
93239,271501.9,38371,18,219090.9,35704,62.1
93243,1323505.6,322627,8065.7,2323850.7,273119.1,7395.2
93244,7630.1,2236.3,140.4,9335.5,2736.1,141.1
93245,323574.8,48137.8,94.3,285093.4,42553.7,581.9
93249,1886403.1,359745.9,1756.2,1459030.2,301413.9,902.9
93251,4385.3,1285.3,20.2,5693.5,1668.7,109.2
93254,89243.9,26155.9,23.4,63244.9,18536,23.5
93255,5006.7,1467.4,87.9,5532.1,1621.4,20.7
93257,1452385,327432.7,3780.5,1538833.2,347347,3485.1
93258,137036818.1,12789998.6,144550.7,95720047,2781189.9,95542.7
93260,0,0,32,0,0,30.6
93263,740416.4,217003.6,4578,768551,225249.4,4140
93265,0,48895.7,5070.4,113719.6,97427.1,4592.3
93268,261029.9,76503.5,53.2,263655.7,77273.1,29.8
93271,0,33851,51.5,0,40391.9,46.1
93274,366504.1,47257.4,1151,320384.1,55496.7,196.5
93277,750407.8,181948.3,595.4,733554.2,181903.3,341.6
